WSJ1829:0	[Silicon Valley] :[/LOCATION] heaved a sigh of relief yesterday .

WSJ0583:16	[Sansui] :[/ORGANIZATION] was late into the mini-component business and failed to branch into other new businesses .

WSJ0583:17	As the yen soared in recent years , [Sansui] :[/ORGANIZATION] 's deepening financial problems became a vicious circle .

WSJ0583:18	While competitors moved production offshore in response to the sagging competitiveness of Japanese factories , [Sansui] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] lacked the money to build new plants in [Southeast Asia] :[/LOCATION] .

WSJ0583:19	`` Our company has not been able to cope very effectively with '' changes in the marketplace , said [Ryosuke Ito] :[/PERSON] , [Sansui] :[/ORGANIZATION] 's president .

WSJ0583:20	But even a Japanese company that looks like a [dog] :[/SUBSTANCE] may turn out to be a good investment for a foreign concern , some management consultants maintain .

WSJ0583:21	[Yoshihisa Murasawa] :[/PERSON] , a management consultant for Booz-Allen & amp ; Hamilton ( Japan ) Inc. , said his firm will likely be recommending acquisitions of Japanese companies more often to foreign clients in the future .

WSJ0583:22	`` Attitudes { toward being acquired } are still negative , but they 're becoming more positive , '' Mr. [Murasawa] :[/PERSON] said .

WSJ0583:24	Whether [Polly Peck] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's acquisition makes sense remains to be seen , but at the news conference , Mr. [Nadir] :[/PERSON] brimmed with self-confidence that he can turn [Sansui] :[/ORGANIZATION] around .

WSJ0583:25	[Sansui] :[/ORGANIZATION] , he said , is a perfect fit for [Polly Peck] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's electronics operations , which make televisions , videocassette recorders , microwaves and other products on an `` original equipment maker '' basis for sale under other companies ' brand names .

WSJ0583:26	He said Polly Peck will greatly expand Sansui 's product line , using Sansui 's engineers to design the new products , and will move [Sansui] :[/ORGANIZATION/MUSEUM,/GPE/COUNTRY,/GPE,/SUBSTANCE/DRUG,/GPE/CITY,/ORGANIZATION/GOVERNMENT,/LOCATION/CONTINENT,/LOCATION/REGION,/LOCATION,/FACILITY/AIRPORT,/ORGANIZATION/HOSPITAL,/LANGUAGE,/FACILITY/HIGHWAY_STREET,/LOCATION/LAKE_SEA_OCEAN,/PRODUCT,/PLANT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/GAME,/LOCATION/RIVER,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/EVENT/WAR,/DISEASE,/PERSON,/FACILITY/BUILDING,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/SUBSTANCE/CHEMICAL,/FACILITY/ATTRACTION,/GPE/STATE_PROVINCE,/LAW,/PRODUCT/VEHICLE,/ORGANIZATION/POLITICAL,/ORGANIZATION/RELIGIOUS,/WORK_OF_ART/SONG,/EVENT/HURRICANE] 's production of most products other than sophisticated audio gear offshore into [Polly Peck] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's own factories .

WSJ0583:27	`` Whatever capital it ( [Sansui] :[/ORGANIZATION] ) needs so it can compete and become a totally global entity capable of competing with the best in the world , that capital will be injected , '' Mr. [Nadir] :[/PERSON] said .

WSJ0583:28	And while [Polly Peck] :[/ORGANIZATION] is n't jettisoning the existent top-management structure of [Sansui] :[/ORGANIZATION] , it is bringing in a former [Toshiba Corp.] :[/ORGANIZATION] executive as executive vice president and chief operating officer .

WSJ0583:29	Such risk taking is an everyday matter for the brash Mr. [Nadir] :[/PERSON] , who is 25 % owner of [Polly Peck] :[/ORGANIZATION] as well as its chairman .

WSJ0583:30	He took [Polly Peck] :[/ORGANIZATION] , once a small fabric wholesaler , and used it at as a base to build a conglomerate that has been doubling its profits annually since 1980 .

WSJ0583:31	In September , it announced plans to acquire the tropical-fruit business of [RJR Nabisco Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's [Del Monte] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] foods unit for # 557 million ( $ 878 million ) .

WSJ0583:32	Last month , [Polly Peck] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] posted a 38 % jump in pretax profit for the first half to # 54.8 million from # 39.8 million on a 63 % rise in sales .

WSJ0583:33	[Joann S. Lublin] :[/PERSON] in [London] :[/GPE,/GPE/CITY] contributed to this article .

WSJ0588:0	The West German machinery and plant equipment industry 's orders rose an inflation-adjusted 1 % in September from a year earlier despite a sharp drop in foreign orders , the [German Association of Machinery Makers] :[/ORGANIZATION] said .

WSJ0589:0	When [Michael S. Perry] :[/PERSON] took the podium at a recent cosmetics industry event , more than 500 executives packing the room snapped to attention .

WSJ0589:1	Mr. [Perry] :[/GPE,/GPE/CITY] , who runs [Unilever Group] :[/ORGANIZATION] 's world-wide personal-care business , paused to scan the crowd .

WSJ0589:5	[First Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , the Anglo-Dutch packaged-goods giant , spent $ 2 billion to acquire brands such as [Faberge] :[/ORGANIZATION] and [Elizabeth Arden] :[/PERSON] .

WSJ0589:6	It now holds the No . 3 position at [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] department-store cosmetic counters .

WSJ0589:7	[Noxell Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] for $ 1.3 billion .

WSJ0589:8	[Cover Girl] :[/WORK_OF_ART] and [Clarion] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] makeup lines , making P & amp ; G the top marketer of cosmetics in mass-market outlets .

WSJ0589:9	[Unilever] :[/PERSON] bring with them great experience with mundane products like [soap] :[/PLANT] and toilet paper , sparking disdain in the glitzy cosmetics trade ; but they also bring mammoth marketing clout , sparking fear .

WSJ0589:10	Though it is far from certain that companies best known for selling [Promise] :[/PERSON] [margarine] :[/SUBSTANCE] and [Tide] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] [detergent] :[/PERSON] will succeed in cosmetics , there 's little doubt they will shake up the industry .

WSJ0589:15	[Estee Lauder Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Revlon Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and other cosmetics houses traditionally have considered themselves fashion enterprises whose product development is guided by the creative intuition of their executives .

WSJ0589:17	`` Just because upscale cosmetics look like packaged goods and smell like packaged goods , it does n't mean they are packaged goods , '' says [Leonard Lauder] :[/PERSON] , chief executive of [Estee Lauder] :[/PERSON] .

WSJ0589:19	[Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and P & amp ; G are the habitats of organization men in gray-flannel suits .

WSJ0589:21	.

WSJ0589:22	Both can be extremely aggressive at pricing such products as [soaps] :[/SUBSTANCE/DRUG,/SUBSTANCE] and diapers -- to the extent that some industry consultants predict cents-off coupons for mascara could result from their entry into the field .

WSJ0589:23	.

WSJ0589:24	[Oil of Olay] :[/SUBSTANCE] , which P & amp ; G acquired as part of [Richardson-Vicks International] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] in 1985 .

WSJ0589:26	`` [Oil of Olay] :[/SUBSTANCE/CHEMICAL,/SUBSTANCE] brought with it the baggage of being used basically by older women who had already aged , '' says [David Williams] :[/PERSON] , a consultant with [New England Consulting Group] :[/ORGANIZATION] .

WSJ0589:27	.

WSJ0589:28	It also redesigned [Oil of Olay] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's packaging , stamping the traditional pink boxes with gold lines to create a more opulent look .

WSJ0589:29	''

WSJ0589:31	[Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and P & amp ; G have enormous financial advantages over smaller rivals .

WSJ0589:32	Next year , Noxell plans to roll out a perfume called [Navy] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] , says [George L. Bunting Jr.] :[/PERSON] , chairman of [Noxell] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ0589:33	[Noxell] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] might not have been able to spend the estimated $ 5 million to $ 7 million needed to accomplish that without scrimping on its existing brands .

WSJ0589:34	Packaged-goods companies `` will make it tougher for smaller people to remain competitive , '' Mr. [Bunting] :[/PERSON] says .

WSJ0589:36	Rumors that [Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] is interested in acquiring [Schering-Plough Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's [Maybelline] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] unit are widespread .

WSJ0589:37	[Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] wo n't comment ; [Schering] :[/PERSON] , however , denies the brand is for sale .

WSJ0589:38	[Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and P & amp ; G is likely to increase the impact of advertising on cosmetics .

WSJ0589:41	[Estee Lauder] :[/PERSON] , for example , spends only an estimated 5 % of sales on advertising in the [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] , and Mr. [Lauder] :[/PERSON] says he has no plans to change his strategy .

WSJ0589:43	Nearly 70 % of cosmetics sales come through mass-distribution outlets such as drug stores and supermarkets , according to [Andrew Shore] :[/PERSON] , an analyst at [Shearson Lehman Hutton Inc .] :[/ORGANIZATION/CORPORATION,/ORGANIZATION]

WSJ0589:46	This fall , for example , [L'Oreal Group] :[/ORGANIZATION] , ordinarily a high-end line , rolled out a drug-store line of skin-care products called [Plenitude] :[/PERSON] , which retail for $ 5 to $ 15 .

WSJ0589:48	[Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and P & amp ; G both have enormous research and development bases to draw on for new products .

WSJ0589:49	.

WSJ0589:50	[Tide] :[/SUBSTANCE] [detergent] :[/PERSON] soared earlier this year , for example , after P & amp ; G introduced a version that includes a [bleach] :[/DISEASE] safe for all colors and fabrics .

WSJ0589:52	`` There will be more emphasis on quality , '' says [Guy Peyrelongue] :[/PERSON] , chief executive of [Cosmair Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , the [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] licensee of [L'Oreal] :[/PERSON] .

WSJ0589:54	[Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and P & amp ; G is far from guaranteed , as shown by the many consumer-product companies that have tried and failed to master the quirky beauty business .

WSJ0589:55	[Colgate-Palmolive Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , Eli Lilly & amp ; Co. , [Pfizer Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Schering-Plough] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] acquired cosmetics companies .

WSJ0589:56	Industry consultants say only [Schering-Plough] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , which makes the mass-market [Maybelline] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , has maintained a meaningful business .

WSJ0589:57	[Colgate] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , which acquired [Helena Rubenstein] :[/PERSON] in 1973 , sold the brand seven years later after the brand languished .

WSJ0589:58	[Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] already has experienced some disappointment .

WSJ0589:59	The mass-market [Aziza] :[/LOCATION] brand , which it acquired in 1987 along with [Chesebrough-Pond 's Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , has lost share , according to industry analysts .

WSJ0589:60	The ritzy world of department-store cosmetics retailing , where [Unilever] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] is concentrating its efforts , may prove even more treacherous .

WSJ1601:0	Short interest on the [New York Stock Exchange] :[/ORGANIZATION] declined for the second consecutive month , this time 4.2 % , while the [American Stock Exchange] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] reported its third consecutive record month of short interest .

WSJ1601:1	The [Big Board] :[/ORGANIZATION] reported that short interest dropped to 523,920,214 shares as of Oct. 13 from 547,347,585 shares in mid-September .

WSJ1601:2	[Amex] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] short interest climbed 3 % to 53,496,665 shares from 51,911,566 shares .

WSJ1601:3	For the year-earlier month , the [Big Board] :[/ORGANIZATION] reported 461,539,056 shares , indicating a 13.5 % year-to-year rise , while the Amex reported 36,015,194 shares , a 48 % leap .

WSJ1601:4	[Amex] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] short interest has been heading upward since mid-December , with increases in each month since then except at mid-July .

WSJ1601:10	The level of negative sentiment measured by the [Big Board] :[/ORGANIZATION] short interest ratio slipped to 3.36 from last month 's 3.38 .

WSJ1601:13	[Varity Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] led the [Big Board] :[/ORGANIZATION] list of largest short volumes with 12,822,563 shares .

WSJ1601:14	[Varity] :[/ORGANIZATION] has proposed to acquire [K-H Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , consisting of the auto parts division and some debt of [Fruehauf Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , for $ 577.3 million of cash and securities .

WSJ1601:15	[Chemical Waste Management] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] posted the biggest increase in short volume on the [New York] :[/GPE] exchange , up 3,383,477 shares to 5,267,238 .

WSJ1601:16	[Bristol-Myers Squibb Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , the entity formed from the recent acquisition of [Squibb Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] by [Bristol-Myers Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , logged the largest volume decline , 7,592,988 shares , to 12,017,724 .

WSJ1601:17	Short interest in [International Business Machines Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] plunged to 1,425,035 shares from 2,387,226 shares a month earlier .

WSJ1601:18	Also closely watched is [Exxon Corp.] :[/ORGANIZATION] , where short interest slid to 4,469,167 shares from 5,088,774 .

WSJ1601:19	On a percentage basis , [Germany Fund Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] led the gainers , leaping to 67,972 shares from three shares .

WSJ1601:20	[TransCanada PipeLines Ltd.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] led the percentage decliners , dropping to 59 shares from 183,467 .

WSJ1601:21	The [Amex] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] short interest volume leader again was [Texas Air Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , rising to 3,820,634 shares from 3,363,949 .

WSJ1601:22	[Bolar Pharmaceutical Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] posted the largest volume increase , 552,302 shares , to 2,157,656 .

WSJ1601:23	The company is under an investigation concerning procedures to gain [Food and Drug Administration] :[/ORGANIZATION] approval of generic [drugs] :[/SUBSTANCE] .

WSJ1601:24	[Bolar] :[/ORGANIZATION] has denied any wrongdoing .

WSJ1601:25	The largest volume drop -- down 445,645 shares to 141,903 -- came in shares represented by [B.A.T Industries PLC] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's American depositary receipts .

WSJ1601:26	The company is facing a takeover proposal from the financier Sir [James Goldsmith] :[/PERSON] .

WSJ1601:27	[First Iberian Fund] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] led the percentage increases , rising to 73,100 shares from 184 .

WSJ1601:28	[Nelson Holdings International Ltd.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] dropped the most on a percentage basis , to 1,000 shares from 255,923 .

WSJ1601:29	The adjacent tables show the [Big Board] :[/ORGANIZATION] and [Amex] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] issues in which a short interest position of at least 100,000 shares existed as of mid-October or in which there was a short position change of at least 50,000 shares since mid-September .

WSJ1602:0	Your Oct. 12 editorial `` [Pitiful , Helpless Presidency ?] :[/WORK_OF_ART] '' correctly states that I was critical of the [Bush] :[/PERSON] administration 's failure to have any plan in place to respond in a timely fashion to the opportunities to oust [Manuel Noriega] :[/PERSON] presented by the attempted military coup on Oct. 3 .

WSJ1602:3	Although you may have forgotten , public opinion about Gen. [Noriega] :[/PERSON] is where it is in large measure because of my investigation of his years of involvement in [narcotics] :[/SUBSTANCE] smuggling ( and simultaneous work as a [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] operative ) .

WSJ1602:4	The public made up its mind about Gen. [Noriega] :[/PERSON] largely as a result of the hearings I chaired in the [Subcommittee on Terrorism and Narcotics] :[/WORK_OF_ART] of the [Foreign Relations Committee] :[/ORGANIZATION] on Feb. 8 , 9 , 10 and 11 , 1988 , and again on April 4 , 1988 .

WSJ1602:5	It was during those hearings that the nation first learned the breadth and depth of Gen. [Noriega] :[/PERSON] 's criminality , and of his enduring relationships with a variety of [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] government agencies .

WSJ1602:6	Those hearings also highlighted how Gen. [Noriega] :[/PERSON] was able to use his relationships with these agencies to delay [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] action against him , and to exploit the administration 's obsession with overthrowing the Sandinistas to protect his own drug-dealing .

WSJ1602:7	As former Ambassador to [Costa Rica] :[/GPE/COUNTRY,/GPE] [Francis J. McNeil] :[/PERSON] testified before the subcommittee , the [Reagan] :[/PERSON] administration knew that Gen. Noriega was involved with [narcotics] :[/SUBSTANCE] , but made a decision in the summer of 1986 `` to put Gen. [Noriega] :[/PERSON] on the shelf until [Nicaragua] :[/GPE/COUNTRY,/GPE] was settled . ''

WSJ1602:8	As the report issued by the subcommittee concluded , `` Our government did nothing regarding Gen. [Noriega] :[/PERSON] 's drug business and substantial criminal involvement because the first priority was the Contra war .

WSJ1602:9	This decision resulted in at least some [drugs] :[/SUBSTANCE/DRUG,/SUBSTANCE] entering the [United States] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] as a hidden cost of the war . ''

WSJ1602:10	Unfortunately , this problem continued even after Gen. [Noriega] :[/PERSON] 's indictment .

WSJ1602:11	Throughout 1988 and this year , I and others in [Congress] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] have pressed the [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] to develop a plan for pushing this `` narcokleptocrat '' out of [Panama] :[/EVENT] .

WSJ1602:13	Sen. [John Kerry] :[/PERSON] ( D. , [Mass .] :[/GPE,/GPE/STATE_PROVINCE] )

WSJ1612:0	[Banc One Corp.] :[/ORGANIZATION] said it agreed in principle to buy five branch offices from [Trustcorp Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Toledo] :[/GPE,/GPE/CITY] , [Ohio] :[/GPE,/GPE/STATE_PROVINCE] , following the planned merger of [Trustcorp] :[/ORGANIZATION] into [Society Corp.] :[/ORGANIZATION] , [Cleveland] :[/GPE,/GPE/CITY] .

WSJ1612:1	The five offices in [Erie] :[/LOCATION] and [Ottawa] :[/GPE] counties in northern [Ohio] :[/GPE] have total assets of about $ 88 million , [Banc One] :[/WORK_OF_ART,/WORK_OF_ART/SONG] said .

WSJ1612:2	The purchase price will be established after Banc One has an opportunity to study the quality of the assets , [Banc One] :[/GPE,/SUBSTANCE/DRUG,/LOCATION,/FACILITY/HIGHWAY_STREET,/PRODUCT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/LOCATION/RIVER,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/EVENT/WAR,/DISEASE,/PERSON,/FACILITY,/GPE/STATE_PROVINCE,/LAW,/WORK_OF_ART/SONG] said .

WSJ1612:3	[Society Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] already has branches in the area , and selling the Trustcorp offices could avoid a problem with regulators over excessive concentration of banking in the two counties after the merger of [Trustcorp] :[/GPE,/SUBSTANCE/DRUG,/GPE/CITY,/ORGANIZATION/GOVERNMENT,/LOCATION/REGION,/LOCATION,/ORGANIZATION/MUSEUM,/LANGUAGE,/FACILITY/HIGHWAY_STREET,/PRODUCT,/PLANT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/LOCATION/RIVER,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/EVENT/WAR,/DISEASE,/PERSON,/FACILITY/BUILDING,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/EVENT/HURRICANE,/FACILITY/ATTRACTION,/GPE/STATE_PROVINCE,/PRODUCT/VEHICLE,/ORGANIZATION/RELIGIOUS,/WORK_OF_ART/SONG] into [Society] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , according to industry sources .

WSJ1617:4	Such efforts -- unheard of only a few years ago -- are the latest attempts to revive the sagging $ 1.76 billion [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] ski industry .

WSJ1617:7	By some estimates , nearly a fourth of all [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] ski areas have been forced to shut down since the early '80s .

WSJ1617:11	[Chicago] :[/GPE,/GPE/CITY] , the ski industry is trying to change its image as a sport primarily for young white people .

WSJ1617:15	`` We used to show some hot-dog skier in his twenties or thirties going over the edge of a cliff , '' says [Kathe Dillmann] :[/PERSON] , a spokeswoman for the [United Ski Industries Association] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , the trade group sponsoring the campaign .

WSJ1617:18	`` We wanted to show it 's okay if you fall , '' says Ms. [Dillmann] :[/PERSON] .

WSJ1617:21	But in these crunch times for the ski industry , some resorts , such as the [Angel Fire] , [Red River] and [Taos] ski areas in [New Mexico] :[/GPE] , have even started shuttle-busing skiers to each other 's slopes and next year plan to sell tickets good for all local lifts .

WSJ1617:24	[Vail] :[/GPE] , [Colo.] :[/GPE,/GPE/STATE_PROVINCE] , now has a playland that looks like an old mining town ; kids can ski through and pan for [fool 's gold] :[/SUBSTANCE] .

WSJ1617:27	`` Most parents who had to go through that never came back , '' says [Michael Shannon] :[/FACILITY/AIRPORT,/FACILITY] , president of [Vail Associates Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , which owns and operates the [Vail] :[/PRODUCT] and nearby [Beaver Creek] resorts .

WSJ1617:31	During Winter Carnival week , for example , visitors at [Sunday River] in [Maine] :[/LOCATION] can take a hot-air balloon ride .

WSJ1617:32	`` People these days want something else to do besides ski and sit in the bar , '' says [Don Borgeson] :[/PERSON] , executive director of [Angel Fire] , [N.M.] :[/GPE,/GPE/STATE_PROVINCE] 's [Chamber of Commerce] :[/WORK_OF_ART] .

WSJ1617:37	An [American Express Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] survey of its travel agents revealed that only 34 % believe their clients will pick a trip this winter based on the availability of winter sports , as opposed to 69 % who think that warm-weather sports will be the deciding factor .

WSJ1617:38	`` Even if they could bring in that many new skiers , I do n't know if { the industry } could handle that kind of an increase , '' says [I. William Berry] :[/PERSON] , editor and publisher of the [Ski Industry Letter] :[/ORGANIZATION] in [Katonah] :[/GPE] , [N.Y .] :[/PERSON]

WSJ1624:2	Yesterday , [Prudential-Bache Securities Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said it postponed a $ 220 million senior subordinated debenture offering by [York International Corp .] :[/ORGANIZATION]

WSJ1624:3	[] :[/WORK_OF_ART] .

WSJ1624:4	.

WSJ1624:7	On Wednesday , [Drexel Burnham Lambert Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] had to slash the size of [Continental Airlines] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] ' junk-bond offering to $ 71 million from $ 150 million .

WSJ1624:8	[Salomon Brothers Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] has delayed [Grand Union Co.] :[/ORGANIZATION] 's $ 1.16 billion junk-bond offering while it restructures the transaction .

WSJ1624:9	Last week , the [Grand Union] :[/ORGANIZATION] offering was sweetened to include warrants that allow bondholders to acquire common stock .

WSJ1624:10	[Prudential-Bache] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said the [York] :[/GPE,/GPE/CITY] issue was delayed because of market conditions .

WSJ1624:11	`` Everything is going through firehoops right now , and { Chicago & amp ; North Western } is no exception , '' said [Mariel Clemensen] :[/PERSON] , vice president , high-yield research , at [Citicorp] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1624:13	[Dan Baldwin] :[/PERSON] , managing director of high-yield investments at [Chancellor Capital Management] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , said the Chicago & amp ; North Western offering was restructured in part because `` several large insurance buyers right now are demanding equity as part of the package .

WSJ1624:15	Mr. [Baldwin] :[/PERSON] likes the offering .

WSJ1624:17	.

WSJ1624:18	[Donaldson Lufkin] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] sweetened the transaction by offering the bonds with a resettable interest rate and a 10 % equity kicker .

WSJ1624:20	[CNW Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , Chicago & amp ; North Western 's parent company .

WSJ1624:21	[Donaldson Lufkin] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] declined to comment on the restructuring .

WSJ1624:22	According to some analysts familiar with the negotiations , the 10 % of equity would come directly from [Donaldson Lufkin] :[/ORGANIZATION] and a fund affiliated with the investment bank [Blackstone Group] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , which would reduce their [CNW] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] equity holdings by 5 % each .

WSJ1624:23	That would leave the [Blackstone] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] fund with a 60 % stake and [Donaldson Lufkin] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] with 15 % .

WSJ1624:25	Junk bonds ended about one-half point higher with so-called high-quality issues from [RJR Capital Holdings Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [Petrolane Gas Service Limited Partnership] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] rising one point .

WSJ1624:26	In the [Treasury] :[/ORGANIZATION] market , the benchmark 30-year bond rose seven-eighths point , or $ 8.75 for each $ 1,000 face amount .

WSJ1624:29	The [Labor Department] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] reported that consumer prices rose just 0.2 % last month , slightly lower than some economists had expected .

WSJ1624:30	But there were also rumors yesterday that several Japanese institutional investors were shifting their portfolios and buying long-term bonds while selling shorter-term [Treasurys] :[/ORGANIZATION] .

WSJ1624:31	Short-term [Treasury] :[/ORGANIZATION] securities ended narrowly mixed , with two-year notes posting slight declines while three-year notes were slightly higher .

WSJ1624:32	Yesterday , the [Fed] :[/ORGANIZATION] executed four-day matched sales , a technical trading operation designed to drain reserves from the banking system .

WSJ1624:33	The move was interpreted by some economists as a sign that the [Fed] :[/ORGANIZATION] does n't want the federal funds rate to move any lower than the 8 % at which it has been hovering around during the past week .

WSJ1624:35	It is considered an early signal of [Fed] :[/ORGANIZATION] credit policy changes .

WSJ1624:37	They are telling us that { 8 % } is as low as they want to see the fed funds rate , '' said [Robert Chandross] :[/PERSON] at [Lloyds Bank PLC] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1624:38	[Treasury] :[/ORGANIZATION] Securities

WSJ1624:42	The discount rate on three-month [Treasury] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] bills rose to 7.56 % from 7.51 % Wednesday , while the rate on six-month bills rose to 7.57 % from 7.53 % .

WSJ1624:43	Meanwhile , the [Treasury] :[/ORGANIZATION] sold $ 9.75 billion of 52-week bills yesterday .

